^DATABASE = Geo													
!Database_name = Gene Expression Omnibus (GEO)													
!Database_institute = NCBI NLM NIH													
!Database_web_link = http://www.ncbi.nlm.nih.gov/geo													
!Database_email = geo@ncbi.nlm.nih.gov													
!Database_ref = Nucleic Acids Res. 2005 Jan 1;33 Database Issue:D562-6													
^DATASET = GDS4517													
!dataset_title = Model for the manic pole of bipolar disorder: hippocampus													
!dataset_description = Analysis of hippocampi from Madison (MSN) and hsd:ICR (ICR) adult males. The inbred MSN strain displays a naturally manic phenotype relative to the outbred ICR ancestral strain. Results provide insight into molecular mechanisms underlying the manic pole of bipolar disorder.													
!dataset_type = Expression profiling by array													
!dataset_pubmed_id = 22675514													
!dataset_platform = GPL6246													
!dataset_platform_organism = Mus musculus													
!dataset_platform_technology_type = in situ oligonucleotide													
!dataset_feature_count = 35557													
!dataset_sample_organism = Mus musculus													
!dataset_sample_type = RNA													
!dataset_channel_count = 1													
!dataset_sample_count = 12													
!dataset_value_type = count													
!dataset_reference_series = GSE29417													
!dataset_order = none													
!dataset_update_date = Sep 19 2013													
^SUBSET = GDS4517_1													
!subset_dataset_id = GDS4517													
!subset_description = Madison													
"!subset_sample_id = GSM727507,GSM727508,GSM727509,GSM727510,GSM727511,GSM727512"													
!subset_type = strain													
^SUBSET = GDS4517_2													
!subset_dataset_id = GDS4517													
!subset_description = ICR													
"!subset_sample_id = GSM727513,GSM727514,GSM727515,GSM727516,GSM727517,GSM727518"													
!subset_type = strain													
^DATASET = GDS4517													
#ID_REF = Platform reference identifier													
#IDENTIFIER = identifier													
#GSM727507 = Value for GSM727507: hippo_msn_rep1; src: hippo_MSN													
#GSM727508 = Value for GSM727508: hippo_msn_rep2; src: hippo_MSN													
#GSM727509 = Value for GSM727509: hippo_msn_rep3; src: hippo_MSN													
#GSM727510 = Value for GSM727510: hippo_msn_rep4; src: hippo_MSN													
#GSM727511 = Value for GSM727511: hippo_msn_rep5; src: hippo_MSN													
#GSM727512 = Value for GSM727512: hippo_msn_rep6; src: hippo_MSN													
#GSM727513 = Value for GSM727513: hippo_icr_rep1; src: hippo_ICR													
#GSM727514 = Value for GSM727514: hippo_icr_rep2; src: hippo_ICR													
